,id,park,plain_dates,genus_species,url,image_url,hyperlink,status
15672,54305162,JDGrant,20200725,Cirsium vulgare,https://www.inaturalist.org/observations/54305162,https://inaturalist-open-data.s3.amazonaws.com/photos/86402645/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/86402645/medium.jpg,1
15702,71455939,JDGrant,20210317,Cirsium vulgare,https://www.inaturalist.org/observations/71455939,https://inaturalist-open-data.s3.amazonaws.com/photos/116340120/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/116340120/medium.jpg,5
15894,15908252,JDGrant,20180825,Cirsium vulgare,https://www.inaturalist.org/observations/15908252,https://inaturalist-open-data.s3.amazonaws.com/photos/23790849/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/23790849/medium.jpeg,1
15895,15908253,JDGrant,20180825,Cirsium vulgare,https://www.inaturalist.org/observations/15908253,https://inaturalist-open-data.s3.amazonaws.com/photos/23790876/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/23790876/medium.jpeg,1
15903,15926419,JDGrant,20180825,Cirsium vulgare,https://www.inaturalist.org/observations/15926419,https://inaturalist-open-data.s3.amazonaws.com/photos/23824845/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/23824845/medium.jpeg,1
15924,17072593,JDGrant,20180929,Cirsium vulgare,https://www.inaturalist.org/observations/17072593,https://inaturalist-open-data.s3.amazonaws.com/photos/25838097/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/25838097/medium.jpeg,1
15957,32155514,JDGrant,20190904,Cirsium vulgare,https://www.inaturalist.org/observations/32155514,https://inaturalist-open-data.s3.amazonaws.com/photos/50405120/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50405120/medium.jpeg,1
16014,56390489,JDGrant,20200807,Cirsium vulgare,https://www.inaturalist.org/observations/56390489,https://inaturalist-open-data.s3.amazonaws.com/photos/89862867/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/89862867/medium.jpeg,1
16025,63177401,JDGrant,20201020,Cirsium vulgare,https://www.inaturalist.org/observations/63177401,https://inaturalist-open-data.s3.amazonaws.com/photos/101350924/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/101350924/medium.jpeg,1
16184,29053474,JDGrant,20190717,Cirsium vulgare,https://www.inaturalist.org/observations/29053474,https://inaturalist-open-data.s3.amazonaws.com/photos/45324811/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/45324811/medium.jpeg,1
16190,29057839,JDGrant,20190717,Cirsium vulgare,https://www.inaturalist.org/observations/29057839,https://inaturalist-open-data.s3.amazonaws.com/photos/45330993/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/45330993/medium.jpeg,1
16203,87256437,JDGrant,20210715,Cirsium vulgare,https://www.inaturalist.org/observations/87256437,https://inaturalist-open-data.s3.amazonaws.com/photos/143823865/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/143823865/medium.jpeg,1
16243,64406130,JDGrant,20201107,Cirsium vulgare,https://www.inaturalist.org/observations/64406130,https://inaturalist-open-data.s3.amazonaws.com/photos/103540109/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/103540109/medium.jpg,3
16281,16914306,JDGrant,20180925,Cirsium vulgare,https://www.inaturalist.org/observations/16914306,https://static.inaturalist.org/photos/25555136/medium.jpg,https://static.inaturalist.org/photos/25555136/medium.jpg,3
16282,17268991,JDGrant,20181006,Cirsium vulgare,https://www.inaturalist.org/observations/17268991,https://inaturalist-open-data.s3.amazonaws.com/photos/26194397/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/26194397/medium.jpeg,1
16336,56870385,JDGrant,20200818,Cirsium vulgare,https://www.inaturalist.org/observations/56870385,https://inaturalist-open-data.s3.amazonaws.com/photos/90661153/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/90661153/medium.jpg,3
16346,56870814,JDGrant,20200818,Cirsium vulgare,https://www.inaturalist.org/observations/56870814,https://inaturalist-open-data.s3.amazonaws.com/photos/90661937/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/90661937/medium.jpg,1
16583,43354306,Garin,20200419,Cirsium vulgare,https://www.inaturalist.org/observations/43354306,https://static.inaturalist.org/photos/68799818/medium.jpeg,https://static.inaturalist.org/photos/68799818/medium.jpeg,0
