id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_device,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
2684644,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684644,http://static.inaturalist.org/photos/3018422/medium.jpg,"This species was once named for Mary Bowerman, but the new Jepson does not recognize it as such and has lumped it with Mt. Diablo Manzanita.",2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Mount Diablo manzanita,Arctostaphylos auriculata,Mount Diablo manzanita,Plantae,48023,Ericaceae,Arctostaphylos,Arctostaphylos auriculata
2684648,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684648,http://static.inaturalist.org/photos/3018427/medium.jpg,,2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Rosaceae,Heteromeles,Heteromeles arbutifolia
2684658,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684658,http://static.inaturalist.org/photos/3018442/medium.jpg,Pink form.,2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Padre's shootingstar (Dodecatheon clevelandii),Primula clevelandii,Padre's Shooting Star,Plantae,486971,Primulaceae,Primula,Primula clevelandii
2684661,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684661,http://static.inaturalist.org/photos/3018444/medium.jpg,White form.,2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Padre's shootingstar (Dodecatheon clevelandii),Primula clevelandii,Padre's Shooting Star,Plantae,486971,Primulaceae,Primula,Primula clevelandii
2684688,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684688,http://static.inaturalist.org/photos/3018471/medium.jpg,Magenta form.,2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Padre's shootingstar (Dodecatheon clevelandii),Primula clevelandii,Padre's Shooting Star,Plantae,486971,Primulaceae,Primula,Primula clevelandii
2684691,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684691,http://static.inaturalist.org/photos/3018476/medium.jpg,,2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Glue-seed,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
2684693,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684693,http://static.inaturalist.org/photos/3018478/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Interior Live Oak,Quercus wislizeni,interior live oak,Plantae,51089,Fagaceae,Quercus,Quercus wislizeni
2684703,2/14/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2684703,http://static.inaturalist.org/photos/3018490/medium.JPG,,2,0,FALSE,Black Diamond Mines,37.950641,-121.863098,838,,,,Contra Costa,Micranthes californica (California saxifrage),Micranthes californica,California Saxifrage,Plantae,78023,Saxifragaceae,Micranthes,Micranthes californica
2688762,2/14/16,2016-02-14 19:59:59 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2688762,https://inaturalist-open-data.s3.amazonaws.com/photos/3023697/medium.JPG,,2,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.951981,-121.870909,271,,,,Contra Costa,Blennosperma nanum,Blennosperma nanum,glue-seed,Plantae,57914,Asteraceae,Blennosperma,Blennosperma nanum
2688775,2/14/16,2016-02-14 19:56:19 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2688775,https://inaturalist-open-data.s3.amazonaws.com/photos/3023739/medium.JPG,,3,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.952074,-121.871257,271,,,,Contra Costa,Padre's shootingstar,Primula clevelandii,Padre's Shooting Star,Plantae,486971,Primulaceae,Primula,Primula clevelandii
2689059,2/14/16,2016-02-14 20:57:53 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689059,https://inaturalist-open-data.s3.amazonaws.com/photos/3024104/medium.JPG,Bowerman`s form . ,1,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.955661,-121.862336,271,,,,Contra Costa,Mount Diablo manzanita,Arctostaphylos auriculata,Mount Diablo manzanita,Plantae,48023,Ericaceae,Arctostaphylos,Arctostaphylos auriculata
2689098,2/14/16,2016-02-14 19:23:03 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689098,https://inaturalist-open-data.s3.amazonaws.com/photos/3024172/medium.JPG,,1,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.955627,-121.868194,271,,,,Contra Costa,Castilleja foliolosa,Castilleja foliolosa,Woolly Indian Paintbrush,Plantae,56760,Orobanchaceae,Castilleja,Castilleja foliolosa
2689120,2/14/16,2016-02-14 19:44:38 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689120,https://inaturalist-open-data.s3.amazonaws.com/photos/3024208/medium.JPG,,4,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.952641,-121.871319,271,,,,Contra Costa,Indian Warrior,Pedicularis densiflora,Warrior's Plume,Plantae,49645,Orobanchaceae,Pedicularis,Pedicularis densiflora
2689218,2/14/16,2016-02-14 19:33:33 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689218,https://inaturalist-open-data.s3.amazonaws.com/photos/3024315/medium.JPG,,3,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.953639,-121.871102,543,,,,Contra Costa,Primula hendersonii,Primula hendersonii,Henderson's shooting star,Plantae,487175,Primulaceae,Primula,Primula hendersonii
2689458,2/14/16,2016-02-14 21:09:40 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689458,https://inaturalist-open-data.s3.amazonaws.com/photos/3024627/medium.JPG,,3,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.955712,-121.862948,271,,,,Contra Costa,toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Rosaceae,Heteromeles,Heteromeles arbutifolia
2689462,2/14/16,2016-02-14 20:05:56 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689462,https://inaturalist-open-data.s3.amazonaws.com/photos/3024633/medium.JPG,,1,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.952514,-121.869965,543,,,,Contra Costa,Interior Live Oak,Quercus wislizeni,interior live oak,Plantae,51089,Fagaceae,Quercus,Quercus wislizeni
2689758,2/14/16,2016-02-14 19:20:09 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689758,https://inaturalist-open-data.s3.amazonaws.com/photos/3025086/medium.JPG,,4,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.954333,-121.869085,543,,,,Contra Costa,Dipterostemon capitatus,Dipterostemon capitatus,Blue Dicks,Plantae,1196784,Asparagaceae,Dipterostemon,Dipterostemon capitatus
2689780,2/14/16,2016-02-14 18:50:39 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689780,https://inaturalist-open-data.s3.amazonaws.com/photos/3025123/medium.JPG,,3,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.957438,-121.863946,271,,,,Contra Costa,Oak mistletoe,Phoradendron villosum,oak mistletoe,Plantae,343310,Santalaceae,Phoradendron,Phoradendron villosum
2689791,2/14/16,2016-02-14 19:16:40 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2689791,https://inaturalist-open-data.s3.amazonaws.com/photos/3025142/medium.JPG,,4,0,FALSE,"Black Diamond Mines Regional Preserve , CA",37.956008,-121.86857,543,,,,Contra Costa,marah fabacea,Marah fabacea,California manroot,Plantae,205330,Cucurbitaceae,Marah,Marah fabacea
2724076,2/27/16,2016-02-27 22:17:34 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/2724076,http://static.inaturalist.org/photos/3074223/medium.jpg,,1,0,FALSE,"Black Diamond Mines Regional Preserve, Antioch, CA, US",37.9550592,-121.8495086,1247,,,,Contra Costa,Silver Bush Lupine,Lupinus albifrons albifrons,Silver Bush Lupine,Plantae,53418,Fabaceae,Lupinus,Lupinus albifrons
