id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
44083309,2020/04/27 11:48 AM PDT,2020-04-27,2020-04-27 18:48:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/44083309,https://inaturalist-open-data.s3.amazonaws.com/photos/69897403/medium.jpg,"",1,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.8230066667,-121.78546,,,,Contra Costa,sand fringepod,Thysanocarpus curvipes,sand fringepod,Plantae,58088,Thysanocarpus,Thysanocarpus curvipes
44083312,2020/04/27 11:49 AM PDT,2020-04-27,2020-04-27 18:49:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/44083312,https://inaturalist-open-data.s3.amazonaws.com/photos/69897415/medium.jpg,"",2,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.823075,-121.7855016667,,,,Contra Costa,California buckeye,Aesculus californica,California buckeye,Plantae,53348,Aesculus,Aesculus californica
44188232,Sun Apr 26 2020 13:48:25 GMT-0700 (PDT),2020-04-26,2020-04-26 20:48:25 UTC,Pacific Time (US & Canada),2280700,research,https://www.inaturalist.org/observations/44188232,https://inaturalist-open-data.s3.amazonaws.com/photos/70058582/medium.jpg,,1,0,false,"Morgan Territory Regional Preserve, Pleasanton, CA, US",37.8288007368,-121.8194042398,1085,,,Contra Costa,Blow Wives,Achyrachaena mollis,Blow Wives,Plantae,56852,Achyrachaena,Achyrachaena mollis
44189495,Sun Apr 26 2020 12:58:17 GMT-0700 (PDT),2020-04-26,2020-04-26 19:58:17 UTC,Pacific Time (US & Canada),2280700,research,https://www.inaturalist.org/observations/44189495,https://inaturalist-open-data.s3.amazonaws.com/photos/70060554/medium.jpg,,1,0,false,"Morgan Territory Regional Preserve, Pleasanton, CA, US",37.8321538264,-121.82008758,1441,,,Contra Costa,San Francisco woodland-star,Lithophragma affine,San Francisco woodland-star,Plantae,50803,Lithophragma,Lithophragma affine
44224785,2020/04/27 11:53 AM PDT,2020-04-27,2020-04-27 18:53:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/44224785,https://inaturalist-open-data.s3.amazonaws.com/photos/70118040/medium.jpg,"",2,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.8232816667,-121.7861316667,,,,Contra Costa,Bulbous Meadow-grass,Poa bulbosa,Bulbous Bluegrass,Plantae,58382,Poa,Poa bulbosa
44224787,2020/04/27 11:54 AM PDT,2020-04-27,2020-04-27 18:54:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/44224787,https://inaturalist-open-data.s3.amazonaws.com/photos/70118060/medium.jpg,"",1,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.823315,-121.7862683333,,,,Contra Costa,Longhorn Seablush,Plectritis macrocera,Longhorn Seablush,Plantae,57287,Plectritis,Plectritis macrocera
44224796,2020/04/27 12:08 PM PDT,2020-04-27,2020-04-27 19:08:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/44224796,https://inaturalist-open-data.s3.amazonaws.com/photos/70118120/medium.jpg,"",3,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.821705,-121.7905866667,,,,Contra Costa,California bee plant,Scrophularia californica,California beeplant,Plantae,50812,Scrophularia,Scrophularia californica
44225444,2020/04/27 12:33 PM PDT,2020-04-27,2020-04-27 19:33:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/44225444,https://inaturalist-open-data.s3.amazonaws.com/photos/70119564/medium.jpg,"",2,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.81871,-121.7945066667,,,,Contra Costa,Blow Wives,Achyrachaena mollis,Blow Wives,Plantae,56852,Achyrachaena,Achyrachaena mollis
44225451,2020/04/27 12:36 PM PDT,2020-04-27,2020-04-27 19:36:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/44225451,https://inaturalist-open-data.s3.amazonaws.com/photos/70119586/medium.jpg,On Quercus lobata.,2,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.82035,-121.7948833333,,,,Contra Costa,oak mistletoe,Phoradendron leucarpum,American Mistletoe,Plantae,49668,Phoradendron,Phoradendron leucarpum
44225464,2020/04/27 12:40 PM PDT,2020-04-27,2020-04-27 19:40:00 UTC,Pacific Time (US & Canada),28,research,https://www.inaturalist.org/observations/44225464,https://inaturalist-open-data.s3.amazonaws.com/photos/70119604/medium.jpg,"",1,0,false,"Morgan Territory Regional Preserve, Contra Costa, California, United States",37.8207583333,-121.79475,,,,Contra Costa,American white waterlily,Nymphaea odorata,American white waterlily,Plantae,51119,Nymphaea,Nymphaea odorata
44331815,Sun Apr 26 2020 16:04:41 GMT-0700 (PDT),2020-04-26,2020-04-26 23:04:41 UTC,Pacific Time (US & Canada),33107,research,https://www.inaturalist.org/observations/44331815,https://inaturalist-open-data.s3.amazonaws.com/photos/70285869/medium.jpg,,1,0,false,"Morgan Territory Regional Preserve, Livermore, CA, US",37.830295,-121.79280833,6,,,Contra Costa,Pine bluegrass,Poa secunda,Pine bluegrass,Plantae,57198,Poa,Poa secunda
44384397,2020/04/29 9:53 AM UTC,2020-04-29,,UTC,1452377,research,https://www.inaturalist.org/observations/44384397,https://static.inaturalist.org/photos/70371308/medium.jpeg,,1,0,false,"Contra Costa County, CA, USA",37.828365223,-121.8084314618,31,,,Contra Costa,silverpuffs,Uropappus lindleyi,silverpuffs,Plantae,50806,Uropappus,Uropappus lindleyi
44384745,2020/04/29 10:40 AM UTC,2020-04-29,,UTC,1452377,research,https://www.inaturalist.org/observations/44384745,https://static.inaturalist.org/photos/70371754/medium.jpeg,,1,0,false,"Contra Costa County, CA, USA",37.8200701359,-121.8041652863,31,,,Contra Costa,Blow Wives,Achyrachaena mollis,Blow Wives,Plantae,56852,Achyrachaena,Achyrachaena mollis
44384825,2020/04/29 10:40 AM UTC,2020-04-29,,UTC,1452377,research,https://www.inaturalist.org/observations/44384825,https://static.inaturalist.org/photos/70371949/medium.jpeg,,1,0,false,"Contra Costa County, CA, USA",37.8214338934,-121.8035851267,31,,,Contra Costa,Blow Wives,Achyrachaena mollis,Blow Wives,Plantae,56852,Achyrachaena,Achyrachaena mollis
44384929,2020/04/29 10:48 AM UTC,2020-04-29,,UTC,1452377,research,https://www.inaturalist.org/observations/44384929,https://static.inaturalist.org/photos/70372088/medium.jpeg,,1,0,false,"Contra Costa County, CA, USA",37.8198684749,-121.8019665945,31,,,Contra Costa,Blow Wives,Achyrachaena mollis,Blow Wives,Plantae,56852,Achyrachaena,Achyrachaena mollis
44385019,2020/04/29 10:52 AM UTC,2020-04-29,,UTC,1452377,research,https://www.inaturalist.org/observations/44385019,https://static.inaturalist.org/photos/70372260/medium.jpeg,,1,0,false,"Contra Costa County, CA, USA",37.8193115582,-121.8009013936,15,,,Contra Costa,Blow Wives,Achyrachaena mollis,Blow Wives,Plantae,56852,Achyrachaena,Achyrachaena mollis
44385771,2020/04/29 1:23 PM UTC,2020-04-29,,UTC,1452377,research,https://www.inaturalist.org/observations/44385771,https://static.inaturalist.org/photos/70373239/medium.jpeg,,1,0,false,"Contra Costa County, CA, USA",37.828823654,-121.7959584244,31,,,Contra Costa,Mediterranean lineseed,Bellardia trixago,Mediterranean lineseed,Plantae,51286,Bellardia,Bellardia trixago
44406996,Thu Apr 30 2020 09:21:08 GMT-0700 (PDT),2020-04-30,2020-04-30 16:21:08 UTC,Pacific Time (US & Canada),625205,research,https://www.inaturalist.org/observations/44406996,https://static.inaturalist.org/photos/70406983/medium.jpg,,1,0,false,"Morgan Territory Regional Preserve, Livermore, CA, US",37.82609167,-121.79397,4,,,Contra Costa,oneleaf onion,Allium unifolium,oneleaf onion,Plantae,59781,Allium,Allium unifolium
44407189,Thu Apr 30 2020 09:14:00 GMT-0700 (PDT),2020-04-30,2020-04-30 16:14:00 UTC,Pacific Time (US & Canada),625205,research,https://www.inaturalist.org/observations/44407189,https://static.inaturalist.org/photos/70407238/medium.jpg,,1,0,false,"Morgan Territory Regional Preserve, Livermore, CA, US",37.82455833,-121.79232833,5,,,Contra Costa,Purple Chinese Houses,Collinsia heterophylla,Purple Chinese Houses,Plantae,47325,Collinsia,Collinsia heterophylla
44407352,Thu Apr 30 2020 10:08:55 GMT-0700 (PDT),2020-04-30,2020-04-30 17:08:55 UTC,Pacific Time (US & Canada),625205,research,https://www.inaturalist.org/observations/44407352,https://static.inaturalist.org/photos/70407478/medium.jpg,,1,0,false,"Morgan Territory Regional Preserve, Livermore, CA, US",37.83238833,-121.79513667,4,,,Contra Costa,Winecup Clarkia,Clarkia purpurea,Winecup Clarkia,Plantae,51087,Clarkia,Clarkia purpurea
44610224,Thu Apr 30 2020 13:42:55 GMT-0700 (PDT),2020-04-30,2020-04-30 20:42:55 UTC,Pacific Time (US & Canada),1482981,research,https://www.inaturalist.org/observations/44610224,https://static.inaturalist.org/photos/70725274/medium.jpg,,1,0,false,"Morgan Territory Regional Preserve, Livermore, CA, US",37.83046357,-121.7918856087,261,,,Contra Costa,Fremont's Deathcamas,Toxicoscordion fremontii,Common star lily,Plantae,49649,Toxicoscordion,Toxicoscordion fremontii
